FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,nodeX,nodeY,STREET1,STREET2
154,1,154,1,1,0,0,2016,26515,1007749.706,177638.5237,EAST 95 STREET,LINDEN BOULEVARD
155,1,155,1,1,0,0,2016,40160,1056199.631,195662.8571,MURDOCK AVENUE,SPRINGFIELD BOULEVARD
156,1,156,1,1,0,0,2016,21346,986568.1843,214236.8383,8 AVENUE,WEST 38 STREET
157,1,157,1,1,0,0,2016,21517,989545.3897,213790.7011,EAST 42 STREET,5 AVENUE
158,1,158,1,1,0,0,2016,25714,1005769.025,161455.8005,FLATBUSH AVENUE,AVENUE U
159,1,159,1,1,0,0,2016,43866,1005483.382,241803.5542,GERARD AVENUE,EAST 164 STREET
160,1,160,1,1,0,0,2016,14995,988049.3133,183074.3429,5 AVENUE,9 STREET
161,1,161,1,0,1,0,2016,18559,990856.8601,186314.4279,STERLING PLACE,6 AVENUE
162,1,162,1,0,0,1,2016,30291,1015636.596,193111.6519,CYPRESS HILLS STREET,80 AVENUE
163,1,163,1,0,1,0,2016,61734,1051156.298,216984.195,223 STREET,NORTHERN BOULEVARD
164,1,164,1,1,0,0,2016,13361,983236.1109,164081.1365,76 STREET,15 AVENUE
165,1,165,1,1,0,0,2016,20911,988423.5382,206090.9166,2 AVENUE,EAST 14 STREET
166,1,166,1,0,0,1,2016,32533,1025311.065,198211.9137,METROPOLITAN AVENUE,70 DRIVE
167,1,167,1,1,0,0,2016,47254,1011105.447,234165.1807,EAST 149 STREET,BRUCKNER BOULEVARD
168,1,168,1,1,0,0,2016,46770,1017132.355,214046.3531,86 STREET,34 AVENUE
169,1,169,1,1,0,0,2016,24089,996841.9266,234635.3405,MORNINGSIDE AVENUE,WEST 124 STREET
170,1,170,1,1,0,0,2016,54341,1024228.879,266795.9277,NEREID AVENUE,RICHARDSON AVENUE
171,1,171,1,1,0,0,2016,15812,986186.1444,199535.602,ALLEN STREET,DIVISION STREET
172,1,172,1,0,0,1,2016,14181,987281.4244,172954.3041,40 STREET,12 AVENUE
173,1,173,1,1,0,0,2016,13521,985205.5361,167942.9135,60 STREET,NEW UTRECHT AVENUE
174,1,174,1,1,0,0,2016,56610,1037247.091,224866.0523,17 AVENUE,CLINTONVILLE STREET
175,1,175,1,1,0,0,2016,49049,1016683.901,254824.2099,BEDFORD PARK BOULEVARD,SOUTHERN BOULEVARD
176,1,176,1,1,0,0,2016,15623,985813.8354,190749.3436,ATLANTIC AVENUE,CLINTON STREET
177,1,177,1,1,0,0,2016,22098,996133.4601,201007.4429,BEDFORD AVENUE,NORTH 8 STREET
178,1,178,1,1,0,0,2016,24918,1001812.582,157448.0628,COYLE STREET,AVENUE V
179,1,179,1,0,1,0,2016,19948,999332.5187,198493.0778,GRAND STREET,MANHATTAN AVENUE
180,1,180,1,1,0,0,2016,19414,993007.4218,197131.9828,KENT AVENUE,SOUTH 11 STREET
181,1,181,1,0,0,1,2015,6080,942992.0654,169700.7348,GRANITE AVENUE,HOOKER PLACE
182,1,182,1,0,0,1,2015,23449,993537.7271,222792.894,79 ST TRANSVERSE,EAST DRIVE
183,1,183,1,0,0,1,2015,40715,1002350.511,200581.7777,VANDERVOORT AVENUE,MASPETH AVENUE
184,1,184,1,0,0,1,2015,28102,1011394.699,144090.078,ROCKAWAY BREEZY BOULEVARD,BEACH 193 STREET
185,1,185,1,0,0,1,2015,25296,1006202.754,153909.7529,GERRITSEN AVENUE,SEBA AVENUE
186,1,186,1,1,0,0,2015,43135,1008477.966,232471.9688,EAST 138 STREET,BRUCKNER BOULEVARD
187,1,187,1,1,0,0,2015,49370,1010758.726,269686.8997,RIVERDALE AVENUE,WEST 259 STREET
188,1,188,1,0,0,1,2015,28762,1012327.41,173192.4142,AVENUE J,ROCKAWAY PARKWAY
189,1,189,1,1,0,0,2015,49496,1012831.1,267992.0671,BROADWAY,HENRY HUDSON PKWY ET 23 N SB
190,1,190,1,1,0,0,2015,46548,1014243.167,212163.2043,74 STREET,37 AVENUE
191,1,191,1,0,0,1,2015,100663,1021361.563,176940.5241,ERSKINE STREET,BELT PARKWAY WB EN ERSKINE ST
192,1,192,1,1,0,0,2015,53110,1027583.242,245904.9269,EAST TREMONT AVENUE,LANE AVENUE
193,1,193,1,0,1,0,2015,18238,995069.8369,176121.4106,OCEAN AVENUE,CHURCH AVENUE
194,1,194,1,1,0,0,2015,21478,988226.1174,217227.5213,8 AVENUE,WEST 51 STREET
195,1,195,1,1,0,0,2015,12836,985687.6513,157786.8219,BAY 31 STREET,BENSON AVENUE
196,1,196,1,1,0,0,2015,57484,1031884.024,249950.4929,WESTCHESTER AVENUE,COLONIAL AVENUE
197,1,197,1,0,0,1,2015,36645,1046917.855,182382.4545,SOUTH CONDUIT AVENUE,176 STREET
198,1,198,2,0,0,2,2015,9726,960401.2954,156386.9363,QUINTARD STREET,HYLAN BOULEVARD
199,1,199,1,1,0,0,2015,33826,1032779.751,189964.4863,103 AVENUE,LEFFERTS BOULEVARD
200,1,200,1,0,1,0,2015,14314,980975.9285,184719.92,VAN DYKE STREET,DWIGHT STREET
201,1,201,1,0,0,1,2015,11508,974228.5374,162450.0475,SHORE ROAD,3 AVENUE
202,1,202,1,0,0,1,2015,52387,1020223.926,243676.1685,ROSEDALE AVENUE,CROSS BRONX EXPRESSWAY SR SOUTH
203,1,203,1,0,0,1,2015,28762,1012327.41,173192.4142,AVENUE J,ROCKAWAY PARKWAY
204,1,204,1,1,0,0,2015,7428,953648.2872,144889.3021,MILL ROAD,EBBITTS STREET
205,1,205,1,1,0,0,2015,16303,997341.1251,149453.6893,WEST END AVENUE,ORIENTAL BOULEVARD
206,1,206,1,0,0,1,2015,43774,1004689.401,243517.6387,WOODYCREST AVENUE,WEST 166 STREET
207,1,207,1,1,0,0,2015,36454,1044545.196,182491.5747,NORTH CONDUIT AVENUE,CRANSTON STREET
208,1,208,1,0,0,1,2015,47564,1016054.575,238969.403,EDGEWATER ROAD,BRUCKNER BOULEVARD
209,1,209,1,0,0,1,2015,3524,938905.3843,158527.6833,SIGNS ROAD,RICHMOND AVENUE
210,1,210,1,0,0,1,2015,44792,1009402.899,258886.0128,MARBLE HILL AVENUE,WEST 228 STREET
211,1,211,1,1,0,0,2015,47860,1011147.574,246935.7581,WEBSTER AVENUE,CROSS BRONX EXPWY ET 2 B EB
212,1,212,1,0,0,1,2015,40293,1058507.208,190388.1304,119 AVENUE,231 STREET
213,1,213,1,1,0,0,2015,28701,1011359.102,174331.4634,ROCKAWAY PARKWAY,GLENWOOD ROAD
214,1,214,1,1,0,0,2015,28911,1014932.441,178651.3859,PENNSYLVANIA AVENUE,STANLEY AVENUE
215,1,215,1,0,1,0,2015,18568,990023.3644,188159.3652,4 AVENUE,DEAN STREET
