FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
167,1,167,1,1,0,0,10,2016,21775,990139.804499999970000,201568.504699999990000,COLUMBIA STREET,EAST HOUSTON STREET
168,1,168,1,1,0,0,10,2016,47512,1015377.269400000000000,238959.501500000010000,LONGFELLOW AVENUE,BRUCKNER BOULEVARD
169,1,169,1,1,0,0,11,2016,42922,1005597.154800000000000,234065.548299999990000,WILLIS AVENUE,EAST 138 STREET
170,1,170,1,0,0,1,11,2016,23352,991166.537999999940000,227173.386900000010000,BROADWAY,WEST 89 STREET
171,1,171,1,1,0,0,11,2016,50884,1022650.830700000000000,212299.933099999990000,104 STREET,41 AVENUE
172,1,172,1,1,0,0,11,2016,43510,1001846.378500000000000,248794.616000000010000,BROADWAY,WEST 180 STREET
173,1,173,1,1,0,0,11,2016,49462,1012516.323699999900000,263731.045800000020000,BROADWAY,MANHATTAN COLLEGE PARKWAY
174,1,174,1,1,0,0,11,2016,27013,1005617.046500000100000,188539.262699999990000,RALPH AVENUE,MACON STREET
175,1,175,1,0,0,1,11,2016,16607,993930.728299999960000,154632.707499999990000,OCEAN PARKWAY,AVENUE X
176,1,176,1,1,0,0,11,2016,42369,1008685.039000000000000,221130.738600000010000,33 STREET,23 AVENUE
177,1,177,1,0,0,1,11,2016,54180,1022979.219100000000000,260887.245700000000000,BARNES AVENUE,EAST 219 STREET
178,1,178,1,1,0,0,11,2016,21517,989545.389700000060000,213790.701100000010000,EAST 42 STREET,5 AVENUE
179,1,179,1,1,0,0,11,2016,13361,983236.110899999970000,164081.136499999990000,76 STREET,15 AVENUE
180,1,180,1,1,0,0,11,2016,54341,1024228.878700000000000,266795.927700000000000,NEREID AVENUE,RICHARDSON AVENUE
181,1,181,1,1,0,0,11,2016,49049,1016683.900700000000000,254824.209899999990000,BEDFORD PARK BOULEVARD,SOUTHERN BOULEVARD
182,1,182,1,0,0,1,12,2015,40715,1002350.511400000000000,200581.777700000010000,VANDERVOORT AVENUE,MASPETH AVENUE
183,1,183,1,1,0,0,12,2015,21478,988226.117399999990000,217227.521299999990000,8 AVENUE,WEST 51 STREET
184,1,184,1,1,0,0,12,2015,12836,985687.651300000030000,157786.821900000010000,BAY 31 STREET,BENSON AVENUE
185,1,185,1,1,0,0,12,2015,5175,948649.186699999960000,142063.028599999990000,HYLAN BOULEVARD,BUFFALO STREET
186,1,186,1,1,0,0,12,2015,27187,1008351.053500000000000,184222.814699999990000,PROSPECT PLACE,EASTERN PARKWAY
187,1,187,1,1,0,0,12,2015,42827,1004975.103600000000000,232882.265900000000000,BRUCKNER BOULEVARD,WILLIS AVENUE BRIDGE
188,1,188,1,1,0,0,12,2015,33859,1033242.925300000000000,185908.080300000000000,115 STREET,ROCKAWAY BOULEVARD
189,1,189,1,1,0,0,12,2015,28864,1014348.337800000000000,170815.722700000010000,ROCKAWAY PARKWAY,AVENUE N
190,1,190,1,0,0,1,12,2015,55871,1036761.957000000100000,216723.874000000010000,155 STREET,SANFORD AVENUE
191,1,191,1,1,0,0,12,2015,16981,997455.908300000010000,153567.467200000010000,AVENUE Z,EAST 17 STREET
192,1,192,1,1,0,0,12,2015,18649,991338.765299999970000,189318.591900000000000,SOUTH PORTLAND AVENUE,FULTON STREET
193,1,193,1,1,0,0,12,2015,58285,1031385.744300000000000,261863.638100000010000,BOSTON ROAD,DE LAVALL AVENUE
194,1,194,1,1,0,0,12,2015,46931,1019252.570100000000000,215025.859000000000000,NORTHERN BOULEVARD,JUNCTION BOULEVARD
195,1,195,1,0,0,1,12,2015,41118,1007122.798100000000000,207244.631499999990000,LAUREL HILL BOULEVARD,49 STREET
196,1,196,1,1,0,0,12,2015,22753,993393.370499999960000,216496.794700000000000,EAST 58 STREET,3 AVENUE
197,1,197,1,1,0,0,12,2015,30450,1017990.774700000000000,199003.644399999990000,METROPOLITAN AVENUE,74 STREET
198,1,198,1,1,0,0,12,2015,17066,998163.104999999980000,156784.589700000010000,GRAVESEND NECK ROAD,EAST 21 STREET
199,1,199,1,0,0,1,12,2015,24875,1001266.425300000000000,152012.542200000000000,EMMONS AVENUE,NOSTRAND AVENUE
200,1,200,1,1,0,0,12,2015,50889,1022215.001500000000000,213883.856700000000000,105 STREET,37 AVENUE
201,1,201,1,1,0,0,12,2015,15975,988875.377899999960000,191992.149500000000000,GOLD STREET,FLATBUSH AVENUE EXTENSION
202,1,202,1,0,0,1,5,2015,28102,1011394.698699999900000,144090.078000000010000,ROCKAWAY BREEZY BOULEVARD,BEACH 193 STREET
203,1,203,1,0,0,1,5,2015,28762,1012327.410400000100000,173192.414200000000000,AVENUE J,ROCKAWAY PARKWAY
204,1,204,1,1,0,0,5,2015,49496,1012831.100300000000000,267992.067099999990000,BROADWAY,HENRY HUDSON PKWY ET 23 N SB
205,1,205,1,0,0,1,5,2015,100663,1021361.562599999900000,176940.524100000010000,ERSKINE STREET,BELT PARKWAY WB EN ERSKINE ST
206,1,206,1,1,0,0,5,2015,33826,1032779.750700000000000,189964.486299999990000,103 AVENUE,LEFFERTS BOULEVARD
207,1,207,1,1,0,0,5,2015,28701,1011359.101900000000000,174331.463400000010000,ROCKAWAY PARKWAY,GLENWOOD ROAD
208,1,208,1,1,0,0,5,2015,44174,1008768.194999999900000,244545.730400000000000,EAST 170 STREET,MORRIS AVENUE
209,1,209,1,1,0,0,5,2015,42533,1001744.872500000100000,239784.503100000000000,ADAM C POWELL BOULEVARD,WEST 150 STREET
210,1,210,1,0,0,1,5,2015,4469,944951.123200000030000,138383.633100000010000,HYLAN BOULEVARD,GREAT KILLS ROAD
211,1,211,1,1,0,0,5,2015,27211,1009004.493800000100000,186403.623599999990000,ROCKAWAY AVENUE,FULTON STREET
212,1,212,1,1,0,0,5,2015,17050,998981.784499999950000,152950.132099999990000,VOORHIES AVENUE,EAST 22 STREET
213,1,213,1,1,0,0,5,2015,43947,1006816.518500000000000,240067.654799999990000,MORRIS AVENUE,EAST 161 STREET
214,1,214,1,0,0,1,5,2015,28918,1014819.767299999900000,179358.041300000010000,LINDEN BOULEVARD,NEW JERSEY AVENUE
215,1,215,1,0,0,1,5,2015,34076,1036806.599300000000000,182096.411800000000000,SOUTH CONDUIT AVENUE,130 STREET
216,1,216,1,1,0,0,5,2015,14084,984801.235800000020000,179904.129400000010000,25 STREET,4 AVENUE
