FID,YR,NODEID,Lon,Lat,Fatalities_COUNT,PedFatalit_COUNT,BikeFatali_COUNT,MVOFatalit_COUNT,Fatalities,PedFatalit,BikeFatali,MVOFatalit
161,2016,18559,-73.97618051,40.67806432,1,0,1,0,1,0,1,0
162,2016,30291,-73.88681137,40.69666795,1,0,0,1,1,0,0,1
163,2016,61734,-73.75848075,40.76199474,1,0,1,0,1,0,1,0
164,2016,13361,-74.003652,40.61704116,1,1,0,0,1,1,0,0
165,2016,20911,-73.98494103,40.732347600000004,1,1,0,0,1,1,0,0
166,2016,32533,-73.85189156,40.71062735,1,0,0,1,1,0,0,1
167,2016,47254,-73.90298796,40.8093643,1,1,0,0,1,1,0,0
168,2016,46770,-73.88131498,40.75412313,1,1,0,0,1,1,0,0
169,2016,24089,-73.9545123,40.810686600000004,1,1,0,0,1,1,0,0
170,2016,54341,-73.85538662,40.89887621,1,1,0,0,1,1,0,0
171,2016,15812,-73.99301588,40.71435562,1,1,0,0,1,1,0,0
172,2016,14181,-73.98907692,40.64139567,1,0,0,1,1,0,0,1
173,2016,13521,-73.99655764,40.62764093,1,1,0,0,1,1,0,0
174,2016,56610,-73.80862805,40.78372264,1,1,0,0,1,1,0,0
175,2016,49049,-73.88273659,40.86604857,1,1,0,0,1,1,0,0
176,2016,15623,-73.99436093,40.69023948,1,1,0,0,1,1,0,0
177,2016,22098,-73.95713105,40.71838771,1,1,0,0,1,1,0,0
178,2016,24918,-73.93675737,40.59881738,1,1,0,0,1,1,0,0
179,2016,19948,-73.94559625,40.7114815,1,0,1,0,1,0,1,0
180,2016,19414,-73.96841309999999,40.70775414,1,1,0,0,1,1,0,0
